"","QuerySeq","Subject","Identity","AlignLength","Mismatches","GapOpenings","QStart","QEnd","SStart","SEnd","EValue","Bitscore","Species","QuerySeq_sub","Function","Group"
"14","sp|Q5T8I9|HENMT_HUMAN","Acropora_digitifera_8011",45.714,210,110,2,26,231,43,252,1.29e-62,201,"adig","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Coral"
"15","sp|Q9UL18|AGO1_HUMAN","Acropora_digitifera_13787",66.152,842,279,5,21,857,14,854,0,1175,"adig","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Coral"
"16","sp|Q9UKV8|AGO2_HUMAN","Acropora_digitifera_13787",67.685,851,267,6,15,859,6,854,0,1200,"adig","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Coral"
"17","sp|Q9SP32|DCL1_ARATH","Acropora_digitifera_1294",35.491,448,219,13,1356,1744,55,491,6.32e-64,227,"adig","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"18","sp|O04492|DRB1_ARATH","Acropora_digitifera_7405",32.727,165,88,6,16,166,8,163,2.52e-06,47.4,"adig","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"19","sp|O04492|DRB1_ARATH","Acropora_digitifera_7405",35.821,67,37,2,103,168,9,70,0.027,35,"adig","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"20","sp|Q9ZVD0|SRRT_ARATH","Acropora_digitifera_10817",27.168,173,105,7,402,561,760,924,2.14e-05,47,"adig","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"21","sp|Q9ZVD0|SRRT_ARATH","Acropora_digitifera_10817",57.895,19,8,0,692,710,999,1017,5.9,29.3,"adig","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"22","sp|Q0WP44|HASTY_ARATH","Acropora_digitifera_13531",25.568,176,128,2,1,174,4,178,1.43e-14,73.6,"adig","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"23","sp|Q9C5Q8|HEN1_ARATH","Acropora_digitifera_8011",32.759,232,133,5,685,908,36,252,3.47e-36,136,"adig","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Coral"
"24","sp|O04379|AGO1_ARATH","Acropora_digitifera_13787",44.178,833,416,15,177,996,14,810,0,702,"adig","O04379","Plant: miRNA effector — guides RISC (AGO1)","Coral"
"25","sp|Q9ZVD5|AGO4_ARATH","Acropora_digitifera_13787",35.018,851,461,23,56,877,16,803,7.17e-139,434,"adig","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Coral"
"26","sp|Q9NRR4|RNC_HUMAN","Anthopleura_elegantissima_3336",58.456,272,106,2,1093,1364,8,272,1.44e-101,325,"aele","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Cnidarian"
"27","sp|Q9NRR4|RNC_HUMAN","Anthopleura_elegantissima_3336",35.78,109,64,3,962,1069,55,158,1.3e-12,69.3,"aele","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Cnidarian"
"28","sp|Q9UPY3|DICER_HUMAN","Anthopleura_elegantissima_58958",45.187,374,157,12,1550,1916,687,1019,2.5e-76,275,"aele","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Cnidarian"
"29","sp|Q9UPY3|DICER_HUMAN","Anthopleura_elegantissima_58958",32.342,538,295,19,543,1071,3,480,1.33e-57,218,"aele","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Cnidarian"
"30","sp|Q9UPY3|DICER_HUMAN","Anthopleura_elegantissima_58958",36.879,141,86,2,1287,1427,554,691,4.37e-19,93.6,"aele","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Cnidarian"
"31","sp|Q8WYQ5|DGCR8_HUMAN","Anthopleura_elegantissima_47641",44.286,350,173,9,433,773,438,774,2.77e-73,253,"aele","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Cnidarian"
"32","sp|Q8WYQ5|DGCR8_HUMAN","Anthopleura_elegantissima_47641",47.619,105,51,1,269,373,8,108,3e-24,108,"aele","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Cnidarian"
"35","sp|Q9BXP5|SRRT_HUMAN","Anthopleura_elegantissima_33373",49.834,301,114,3,383,650,476,772,5.62e-83,282,"aele","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Cnidarian"
"36","sp|Q9BXP5|SRRT_HUMAN","Anthopleura_elegantissima_33373",51.351,74,36,0,197,270,19,92,3.62e-17,85.5,"aele","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Cnidarian"
"37","sp|Q9HAV4|XPO5_HUMAN","Anthopleura_elegantissima_8817",29.945,364,228,10,858,1204,2,355,2.13e-46,170,"aele","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Cnidarian"
"38","sp|Q5T8I9|HENMT_HUMAN","Anthopleura_elegantissima_41462",48.413,126,64,1,108,232,1,126,3.63e-39,135,"aele","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Cnidarian"
"39","sp|Q9UL18|AGO1_HUMAN","Anthopleura_elegantissima_24436",70.364,577,171,0,243,819,3,579,0,872,"aele","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Cnidarian"
"40","sp|Q9UKV8|AGO2_HUMAN","Anthopleura_elegantissima_24436",71.924,577,162,0,245,821,3,579,0,896,"aele","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Cnidarian"
"41","sp|Q9SP32|DCL1_ARATH","Anthopleura_elegantissima_58958",34.249,473,261,15,1359,1798,564,1019,3.55e-60,225,"aele","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Cnidarian"
"42","sp|Q9SP32|DCL1_ARATH","Anthopleura_elegantissima_58958",26.791,321,204,11,753,1068,2,296,2.92e-22,103,"aele","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Cnidarian"
"43","sp|Q9SP32|DCL1_ARATH","Anthopleura_elegantissima_58958",29.286,140,86,4,1215,1351,355,484,1.28e-11,69.3,"aele","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Cnidarian"
"44","sp|O04492|DRB1_ARATH","Anthopleura_elegantissima_45452",24.615,195,96,3,16,168,389,574,5.9e-07,50.8,"aele","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Cnidarian"
"45","sp|O04492|DRB1_ARATH","Anthopleura_elegantissima_45452",35.135,74,30,3,9,75,274,336,1,30.8,"aele","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Cnidarian"
"46","sp|Q9ZVD0|SRRT_ARATH","Anthopleura_elegantissima_69929",50,56,28,0,194,249,157,212,6.26e-12,65.1,"aele","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Cnidarian"
"47","sp|Q0WP44|HASTY_ARATH","Anthopleura_elegantissima_16403",26.623,154,110,2,9,160,10,162,1.04e-08,55.1,"aele","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Cnidarian"
"48","sp|Q9C5Q8|HEN1_ARATH","Anthopleura_elegantissima_41462",34.507,142,77,2,772,911,1,128,1.39e-21,90.9,"aele","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Cnidarian"
"49","sp|O04379|AGO1_ARATH","Anthopleura_elegantissima_36960",42.049,849,421,23,179,996,179,987,0,602,"aele","O04379","Plant: miRNA effector — guides RISC (AGO1)","Cnidarian"
"50","sp|Q9ZVD5|AGO4_ARATH","Anthopleura_elegantissima_36960",32.06,864,477,30,59,877,182,980,1.22e-111,367,"aele","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Cnidarian"
"51","sp|Q9NRR4|RNC_HUMAN","Acropora_hyacinthus_5154",20.497,161,114,4,250,409,4,151,0.65,30.8,"ahya","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"52","sp|Q9UPY3|DICER_HUMAN","Acropora_hyacinthus_4297",32.353,102,60,3,489,589,119,212,1.04e-07,52.8,"ahya","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"53","sp|Q8WYQ5|DGCR8_HUMAN","Acropora_hyacinthus_5411",38.71,31,19,0,302,332,132,162,0.012,35,"ahya","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"56","sp|Q9BXP5|SRRT_HUMAN","Acropora_hyacinthus_11154",47.414,116,59,2,400,514,3,117,1.06e-30,114,"ahya","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"57","sp|Q9HAV4|XPO5_HUMAN","Acropora_hyacinthus_3299",38.938,113,62,3,156,261,2,114,3.22e-17,76.3,"ahya","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Coral"
"58","sp|Q5T8I9|HENMT_HUMAN","Acropora_hyacinthus_7117",25,96,63,3,142,236,98,185,0.095,31.2,"ahya","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Coral"
"59","sp|Q9UL18|AGO1_HUMAN","Acropora_hyacinthus_5685",62.212,217,80,2,21,236,14,229,8.71e-95,294,"ahya","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Coral"
"60","sp|Q9UKV8|AGO2_HUMAN","Acropora_hyacinthus_5685",65.455,220,74,2,20,238,11,229,3.39e-97,301,"ahya","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Coral"
"61","sp|Q9SP32|DCL1_ARATH","Acropora_hyacinthus_152",31.481,108,51,2,299,388,1,103,6.65e-10,56.2,"ahya","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"62","sp|O04492|DRB1_ARATH","Acropora_hyacinthus_9033",31.343,67,44,1,17,83,42,106,0.004,34.7,"ahya","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"63","sp|Q9ZVD0|SRRT_ARATH","Acropora_hyacinthus_4054",44,50,28,0,194,243,145,194,9.2e-08,50.8,"ahya","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"64","sp|Q0WP44|HASTY_ARATH","Acropora_hyacinthus_4310",29.412,51,35,1,341,390,50,100,1.7,29.6,"ahya","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"65","sp|Q9C5Q8|HEN1_ARATH","Acropora_hyacinthus_6217",37.143,35,22,0,492,526,123,157,0.2,32,"ahya","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Coral"
"66","sp|O04379|AGO1_ARATH","Acropora_hyacinthus_5685",41.364,220,120,3,182,399,19,231,9.42e-53,182,"ahya","O04379","Plant: miRNA effector — guides RISC (AGO1)","Coral"
"67","sp|Q9ZVD5|AGO4_ARATH","Acropora_hyacinthus_5685",30.328,244,134,6,56,297,16,225,2.9e-23,97.1,"ahya","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Coral"
"68","sp|Q9NRR4|RNC_HUMAN","Acropora_millepora_6732",54.266,879,378,8,505,1368,36,905,0,1006,"amil","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"69","sp|Q9UPY3|DICER_HUMAN","Acropora_millepora_387",32.419,984,518,27,173,1117,1,876,1.11e-124,429,"amil","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"70","sp|Q9UPY3|DICER_HUMAN","Acropora_millepora_387",44.35,354,163,7,1552,1899,1081,1406,1e-72,268,"amil","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"71","sp|Q9UPY3|DICER_HUMAN","Acropora_millepora_387",37.288,118,64,2,1276,1384,909,1025,3.58e-14,78.2,"amil","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"72","sp|Q9UPY3|DICER_HUMAN","Acropora_millepora_387",24.571,175,98,5,1679,1824,935,1104,0.72,34.7,"amil","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"73","sp|Q8WYQ5|DGCR8_HUMAN","Acropora_millepora_12853",35.694,353,193,5,433,773,287,617,8.47e-62,218,"amil","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"74","sp|Q8WYQ5|DGCR8_HUMAN","Acropora_millepora_12853",57.353,68,29,0,289,356,71,138,5.31e-20,94.4,"amil","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"77","sp|Q9BXP5|SRRT_HUMAN","Acropora_millepora_2559",54.478,268,109,6,612,876,1,258,4.8e-80,258,"amil","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"78","sp|Q9HAV4|XPO5_HUMAN","Acropora_millepora_4687",34.923,1237,725,28,13,1204,13,1214,0,688,"amil","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Coral"
"79","sp|Q5T8I9|HENMT_HUMAN","Acropora_millepora_15241",36.464,362,212,8,26,380,44,394,4.16e-64,213,"amil","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Coral"
"80","sp|Q9UL18|AGO1_HUMAN","Acropora_millepora_5854",66.152,842,279,5,21,857,17,857,0,1174,"amil","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Coral"
"81","sp|Q9UKV8|AGO2_HUMAN","Acropora_millepora_5854",67.685,851,267,6,15,859,9,857,0,1201,"amil","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Coral"
"82","sp|Q9SP32|DCL1_ARATH","Acropora_millepora_387",34.989,443,222,13,1356,1741,936,1369,3.98e-59,225,"amil","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"83","sp|Q9SP32|DCL1_ARATH","Acropora_millepora_387",26.999,763,427,29,376,1090,1,681,6.53e-47,185,"amil","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"84","sp|O04492|DRB1_ARATH","Acropora_millepora_6116",31.285,179,99,7,3,166,160,329,1.88e-05,46.6,"amil","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"85","sp|O04492|DRB1_ARATH","Acropora_millepora_6116",35.106,94,51,2,16,99,7,100,2.63e-05,46.2,"amil","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"86","sp|O04492|DRB1_ARATH","Acropora_millepora_6116",30,80,54,2,103,181,8,86,0.049,35.8,"amil","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"87","sp|O04492|DRB1_ARATH","Acropora_millepora_6116",35.821,67,37,2,103,168,175,236,0.069,35,"amil","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"88","sp|Q9ZVD0|SRRT_ARATH","Acropora_millepora_2558",43.75,48,27,0,194,241,160,207,3.02e-05,45.8,"amil","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"89","sp|Q0WP44|HASTY_ARATH","Acropora_millepora_4687",20.285,1262,823,38,1,1164,3,1179,4.17e-40,161,"amil","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"90","sp|Q9C5Q8|HEN1_ARATH","Acropora_millepora_15241",32.271,251,145,6,685,927,37,270,7.82e-36,143,"amil","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Coral"
"91","sp|O04379|AGO1_ARATH","Acropora_millepora_5854",44.178,833,416,14,177,996,17,813,0,705,"amil","O04379","Plant: miRNA effector — guides RISC (AGO1)","Coral"
"92","sp|Q9ZVD5|AGO4_ARATH","Acropora_millepora_5854",34.9,851,462,23,56,877,19,806,8.2e-139,435,"amil","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Coral"
"93","sp|Q9NRR4|RNC_HUMAN","Acropora_palmata_5159",33.75,80,35,4,1270,1346,74,138,0.51,30.8,"apal","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"94","sp|Q9UPY3|DICER_HUMAN","Acropora_palmata_3708",40.136,147,81,3,1758,1899,2,146,6.19e-28,108,"apal","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"95","sp|Q8WYQ5|DGCR8_HUMAN","Acropora_palmata_3542",36.538,52,32,1,190,240,62,113,0.17,30.8,"apal","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"96","sp|Q8WYQ5|DGCR8_HUMAN","Acropora_palmata_3542",33.333,69,38,2,171,239,89,149,0.34,30,"apal","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"99","sp|Q9BXP5|SRRT_HUMAN","Acropora_palmata_2679",46.667,45,15,4,761,802,22,60,0.51,30,"apal","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"100","sp|Q9HAV4|XPO5_HUMAN","Acropora_palmata_7410",24.823,141,86,4,105,243,19,141,8.77e-07,48.9,"apal","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Coral"
"101","sp|Q5T8I9|HENMT_HUMAN","Acropora_palmata_4077",30.357,56,37,1,252,305,22,77,0.52,29.3,"apal","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Coral"
"102","sp|Q9UL18|AGO1_HUMAN","Acropora_palmata_6303",59.671,243,79,4,621,856,3,233,2.97e-88,277,"apal","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Coral"
"103","sp|Q9UKV8|AGO2_HUMAN","Acropora_palmata_6303",62.551,243,72,4,623,858,3,233,6.96e-92,286,"apal","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Coral"
"104","sp|Q9SP32|DCL1_ARATH","Acropora_palmata_3708",48.333,60,29,1,1685,1742,51,110,9.9e-14,68.2,"apal","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"105","sp|O04492|DRB1_ARATH","Acropora_palmata_5159",40.385,52,28,2,34,84,85,134,0.007,34.7,"apal","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"106","sp|Q9ZVD0|SRRT_ARATH","Acropora_palmata_6198",31.915,47,32,0,532,578,7,53,1.2,28.5,"apal","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"107","sp|Q0WP44|HASTY_ARATH","Acropora_palmata_6429",31.579,57,39,0,1146,1202,102,158,0.96,30,"apal","Q0WP44","Plant: Nuclear export of pre-miRNA or miRNA (Hasty)","Coral"
"108","sp|Q9C5Q8|HEN1_ARATH","Acropora_palmata_5363",37.143,35,22,0,492,526,123,157,0.13,32.3,"apal","Q9C5Q8","Plant: Methyltransferase — 2′-O-methylation of miRNAs (Hen1)","Coral"
"109","sp|O04379|AGO1_ARATH","Acropora_palmata_6303",56.41,234,80,5,787,1014,3,220,2.09e-69,228,"apal","O04379","Plant: miRNA effector — guides RISC (AGO1)","Coral"
"110","sp|Q9ZVD5|AGO4_ARATH","Acropora_palmata_6303",44.503,191,87,3,687,866,3,185,3.79e-49,171,"apal","Q9ZVD5","Plant: miRNA effector — guides RISC (AGO4)","Coral"
"111","sp|Q9NRR4|RNC_HUMAN","protein|evm.model.chromosome_13.2968",50.476,1050,418,14,413,1371,510,1548,0,1048,"apoc","Q9NRR4","Human: RNase III – primary cleavage of pri-miRNA (Drosha)","Coral"
"112","sp|Q9UPY3|DICER_HUMAN","protein|evm.model.chromosome_11.432",36.132,1060,568,24,42,1083,23,991,8.63e-177,581,"apoc","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"113","sp|Q9UPY3|DICER_HUMAN","protein|evm.model.chromosome_11.432",43.432,373,166,9,1552,1913,1241,1579,8.98e-73,270,"apoc","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"114","sp|Q9UPY3|DICER_HUMAN","protein|evm.model.chromosome_11.432",47.312,93,48,1,1292,1384,1057,1148,4.71e-18,92,"apoc","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"115","sp|Q9UPY3|DICER_HUMAN","protein|evm.model.chromosome_11.432",27.778,90,58,2,1674,1761,1053,1137,0.44,36.2,"apoc","Q9UPY3","Human: RNase III — cleaves pre-miRNA (Dicer)","Coral"
"116","sp|Q8WYQ5|DGCR8_HUMAN","protein|evm.model.chromosome_4.119",39.193,347,188,7,433,773,343,672,2.06e-61,219,"apoc","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"117","sp|Q8WYQ5|DGCR8_HUMAN","protein|evm.model.chromosome_4.119",56.716,67,29,0,291,357,98,164,8.62e-20,94.7,"apoc","Q8WYQ5","Human: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (DGCR8 / Pasha)","Coral"
"121","sp|Q9BXP5|SRRT_HUMAN","protein|evm.model.chromosome_8.1193_evm.model.chromosome_8.1194",47.461,571,230,13,361,876,733,1288,9.07e-144,458,"apoc","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"122","sp|Q9BXP5|SRRT_HUMAN","protein|evm.model.chromosome_8.1193_evm.model.chromosome_8.1194",37.278,338,133,10,1,269,1,328,9.31e-44,172,"apoc","Q9BXP5","Humann: Zinc finger co-factor for DCL1-HYL1 complex (ARS2)","Coral"
"123","sp|Q9HAV4|XPO5_HUMAN","protein|evm.model.chromosome_11.1980",35.714,1232,735,23,1,1204,1,1203,0,764,"apoc","Q9HAV4","Human: Nuclear export of pre-miRNA or miRNA (Exportin-5)","Coral"
"124","sp|Q5T8I9|HENMT_HUMAN","protein|evm.model.chromosome_13.2807",35.262,363,213,7,26,380,35,383,8.96e-67,221,"apoc","Q5T8I9","Human: Methyltransferase — 2′-O-methylation of miRNAs (HENM1; for piRNAs)","Coral"
"125","sp|Q9UL18|AGO1_HUMAN","protein|evm.model.chromosome_8.2154",67.378,843,268,6,21,857,14,855,0,1200,"apoc","Q9UL18","Human: miRNA effector — guides RISC (AGO1)","Coral"
"126","sp|Q9UKV8|AGO2_HUMAN","protein|evm.model.chromosome_8.2154",68.794,846,257,5,20,859,11,855,0,1219,"apoc","Q9UKV8","Human: miRNA effector — guides RISC (AGO2)","Coral"
"127","sp|Q9SP32|DCL1_ARATH","protein|evm.model.chromosome_11.432",33.665,704,377,20,249,927,25,663,4.09e-93,335,"apoc","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"128","sp|Q9SP32|DCL1_ARATH","protein|evm.model.chromosome_11.432",33.404,470,227,14,1356,1740,1059,1527,1.13e-58,224,"apoc","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"129","sp|Q9SP32|DCL1_ARATH","protein|evm.model.chromosome_11.432",34.437,151,80,5,1204,1351,854,988,3.09e-12,72.8,"apoc","Q9SP32","Plant: RNase III — cleaves pre-miRNA (DCL1)","Coral"
"130","sp|O04492|DRB1_ARATH","protein|evm.model.chromosome_13.1479",31.72,186,100,4,1,168,153,329,2.3e-07,53.5,"apoc","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"131","sp|O04492|DRB1_ARATH","protein|evm.model.chromosome_13.1479",33.824,68,45,0,16,83,6,73,0.004,40,"apoc","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"132","sp|O04492|DRB1_ARATH","protein|evm.model.chromosome_13.1479",32.812,64,41,2,103,165,7,69,7.7,29.6,"apoc","O04492","Plant: miRNA microprocessor co-factor / Dicer partner — dsRNA binding protein (HYL1)","Coral"
"133","sp|Q9ZVD0|SRRT_ARATH","protein|evm.model.chromosome_8.1193_evm.model.chromosome_8.1194",31.387,137,70,4,109,241,76,192,1.61e-06,52.4,"apoc","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
"134","sp|Q9ZVD0|SRRT_ARATH","protein|evm.model.chromosome_8.1193_evm.model.chromosome_8.1194",25.767,163,100,6,400,550,1023,1176,5.74e-05,47,"apoc","Q9ZVD0","Plant: Zinc finger co-factor for DCL1-HYL1 complex (Serrate)","Coral"
